product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"Spring Chef Heavy Duty Ice Cream Scoop with Comfortable Handle - Professional Ice Cream Scooper for Gelato, Sorbet, Cookie Dough, Melon, Frozen Yogurt - Dishwasher Safe Metal Kitchen Tool - Black",ice cream scoops,B01CX2EZ3K,11.97,11.97,11.97,9.97,9.97,9.97,10.99,10.99,11.97,11.97,11.97,11.97,11.97,11.97,10.52,10.52,12.97,12.97,12.97,12.97,12.97,12.74,12.74,12.74,12.74,12.47,11.97,11.97,11.97,11.97,11.97,11.97,13.48,9.99,9.99,11.99,11.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99
"Amazon Basics Easel Display Stand, Instant Floor Poster, Lightweight, Collapsible and Portable with Tripod Base, Black Steel (supports 5 pounds)",easels,B07P8TXWYH,16.49,25.72,15.24,15.47,15.6,13.07,14.26,14.51,14.99,14.99,14.99,14.99,14.93,14.63,14.66,14.64,14.64,15.4,16.57,16.79,18.18,18.18,16.45,17.73,18.37,18.8,17.55,15.14,19.39,16.98,14.17,14.59,14.72,15.45,16.43,16.43,16.43,14.12,14.12,12.99,12.99,12.99,11.69,10.99,10.99,10.99,10.99,12.99
"Dinner Forks,Set of 16 Top Food Grade Stainless Steel Silverware Forks,Table Forks,Flatware Forks,8 Inches,Mirror Finish & Dishwasher Safe,Use for Home,Kitchen or Restaurant",dinner forks,B086D4PV2G,16.42,12.66,12.24,11.66,12.49,13.61,11.04,12.66,11.59,12.02,14.49,14.49,14.49,13.86,13.91,13.29,12.94,12.94,14.21,14.21,12.24,13.64,12.89,12.92,12.92,12.92,11.69,12.01,11.36,11.36,12.44,11.99,11.99,10.99,11.24,11.24,9.98,9.98,9.98,9.98,9.99,9.98,10.33,9.99,9.99,10.92,10.45,9.74
"Caperci Standard White Cupcake Liners 500 Count, No Smell, Food Grade & Grease-Proof Baking Cups Paper",baking cups,B08FT3XRRM,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,8.29,8.29,8.29,8.29,6.99,7.49,6.98,5.99,6.99,6.99,6.74,6.5,6.99,6.63,6.71,6.71,6.71,7.08,6.49,6.49,6.49,6.49,6.49
"3.5x5 Inch Do Not Flush Rules Bathroom Sign ~ Ready to Stick ~ Premium Finish, Durable",decorative signs & plaques,B07XWQXPDT,13.94,9.98,13.98,13.98,13.98,13.98,11.95,12.65,12.22,11.98,11.99,13.48,13.48,13.48,14.98,14.98,14.98,14.98,14.98,14.98,13.98,14.58,14.58,14.58,14.58,14.58,13.98,13.48,13.48,13.48,11.98,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,12.34,11.49,11.49,11.49,11.52,11.52,11.43
"HOTEC Heat Resistant 600℉ Food Grade Silicone Rubber Spatula Set for Baking, Cooking, and Mixing Non Stick Dishwasher Safe BPA-Free Multicolor Set of 5",spatulas,B084H89YLC,10.21,11.99,9.33,9.83,9.49,9.49,9.24,8.49,9.99,10.99,13.49,13.49,13.66,12.5,12.04,11.09,12.23,12.02,12.02,11.04,11.59,12.99,11.59,15.32,14.49,13.99,13.49,12.99,13.59,13.29,13.29,13.29,13.29,13.29,11.19,13.06,12.52,10.79,10.89,10.79,10.79,10.79,10.79,10.79,10.79,10.79,9.99,10.99
Home EC Original Stainless Steel Sea Salt and Pepper Grinder Set of 4 - Adjustable Ceramic - Tall Glass Salt and Pepper Shakers Mills - Modern Kitchen Spice Mill W/Funnel & EBook,salt & pepper mill sets,B07Q2KRMVZ,27.99,22.99,23.99,22.37,21.99,21.99,22.95,23.98,23.98,23.98,25.68,25.68,29.19,23.99,23.99,22.19,22.19,22.19,25.0,19.03,22.5,23.99,24.99,24.99,24.99,19.99,23.74,19.99,19.79,19.32,22.95,19.31,19.31,16.99,19.07,25.95,25.95,25.95,21.53,21.53,21.53,24.66,24.66,24.66,24.66,24.66,24.66,24.66
"Antonki 2 Pack Digital Timer for Kids, Magnetic Countdown Kitchen Timers for Cooking, Egg, Classroom, Teacher, Exercise, Study, Oven - Battery Included",timers,B07D3BFY6R,8.47,7.9,8.64,9.19,7.62,9.3,7.33,10.3,10.3,9.15,8.74,9.13,9.13,9.57,8.13,7.57,7.37,7.57,7.35,7.24,7.24,7.58,8.12,7.23,7.12,7.12,7.12,7.12,7.4,7.36,7.42,6.38,6.51,6.55,6.81,6.47,6.47,6.47,6.47,6.64,6.47,6.47,6.47,6.47,6.47,6.97,5.92,7.47
"Pyrex Glass Food Storage containers, 16 PC Set (Mixed Colors)",container sets,B07L529JGW,35.04,26.99,30.13,26.9,26.5,26.21,26.37,27.33,26.15,26.39,27.12,27.99,27.99,28.7,29.38,29.39,28.46,31.45,37.75,32.98,28.62,32.92,41.95,43.45,37.34,27.54,29.08,33.76,34.67,24.08,32.18,36.87,30.07,30.37,31.37,34.37,29.22,32.8,34.24,34.56,34.7,34.7,33.75,34.75,32.98,31.36,28.28,29.35
"Amazon Basics Lightweight Pleated Bed Skirt, Queen, Taupe, Solid",bed skirts,B07TWQN4JT,14.1,15.46,15.46,15.46,15.46,15.15,15.29,15.28,15.36,15.36,15.36,16.19,16.04,15.55,15.61,16.0,16.0,14.87,15.75,16.31,16.31,11.75,11.75,10.28,13.52,16.22,15.82,14.4,19.55,18.69,18.33,18.25,13.99,13.8,12.74,12.74,12.36,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,9.19,11.99
"Cuisinart WMR-CAP2 Round Classic Waffle Maker, Brushed Stainless,Silver",waffle irons,B00006JKZN,33.33,29.93,37.65,29.92,29.4,29.81,29.75,29.78,23.19,23.93,27.95,27.36,27.3,28.53,26.44,26.86,26.2,28.45,28.75,28.77,24.5,25.39,20.14,25.38,39.24,29.94,28.08,28.44,29.88,29.88,27.56,28.6,27.93,29.37,29.9,29.9,27.44,29.3,27.74,29.32,28.85,28.82,28.23,29.7,29.22,27.67,29.42,30.24
"Amazon Basics Down-Alternative Pillows for Stomach and Back Sleepers, Soft Density, 20 x 36 inches, 2-Pack, White",bed pillows,B0736YM33H,36.02,36.79,36.37,33.99,34.52,34.52,33.66,32.36,32.37,32.37,32.37,34.78,34.83,34.77,34.84,29.99,29.99,37.45,40.1,44.86,44.86,34.99,39.13,38.64,36.93,32.26,35.52,35.27,35.27,33.63,37.75,38.85,38.59,37.68,37.62,37.22,36.04,35.63,35.41,31.99,31.99,31.99,31.99,31.99,31.99,25.99,25.99,31.99
"LuxClub 5 PC Split King Sheet Set, Breathable Luxury Bed Sheets, Deep Pockets 18"" Eco Friendly Wrinkle Free Cooling Sheets Machine Washable Hotel Bedding Silky Soft - Light Taupe Split King",sheet & pillowcase sets,B07WHT7KD3,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,40.46,40.46,40.46,44.95,44.95,44.95,41.58,41.58,40.9,40.9,40.9,40.9,40.9,40.9,40.9,44.95,44.95,44.95,44.95,41.57,44.95,44.95,44.95,44.95,44.95,44.95,44.95,41.58,40.45,40.45,40.45,40.45,40.45
"AmazerBath Plastic Shower Curtain, 72 x 78 Inches PEVA Beige Shower Curtain with Heavy Duty Clear Stones and Grommet Holes, Waterproof Thick Bathroom Plastic Shower Curtains",shower curtains,B07NRLCTXH,14.97,14.97,14.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97
"Keurig 3-Month Brewer Maintenance Kit Includes Descaling Solution, Water Filter Cartridges & Rinse Pods, Compatible Classic/1.0 & 2.0 K-Cup Coffee Makers, 7 Count",coffee & espresso machine cleaning products,B07V3946XL,22.46,20.31,20.2,24.3,26.48,25.23,20.64,23.65,13.93,13.74,13.96,13.91,13.61,13.61,14.32,14.59,16.12,17.61,15.45,16.88,19.39,17.14,17.1,19.28,16.92,15.87,14.47,14.2,12.94,14.55,14.92,15.35,16.15,17.15,15.99,13.67,16.44,17.32,16.02,13.79,17.91,18.86,16.18,15.03,14.89,14.61,14.47,14.26
"CozyLux Twin Comforter Set with Sheets White - 5 Pieces Bed in a Bag Twin, All Season Bed Set for Girls and Boys, Bedding Set with Down Alternative Comforter, Sheets, Pillowcase & Sham",comforter sets,B08CRL4VNH,45.99,45.99,45.99,45.99,47.99,47.99,47.99,47.99,47.99,49.99,49.99,50.99,51.99,51.99,51.99,51.99,51.99,44.19,46.79,51.99,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,43.79,43.79,44.79,45.99,45.99,43.69,42.54,42.54,42.54,42.54,42.54,48.99,48.99,44.09,51.99,39.99,51.99
"2 Pack Refrigerator Thermometer, -30~30°C/-20~80°F, Classic Fridge Analog Thermometer Large Dial with Red Indicator Thermometer for Freezer Refrigerator Cooler",refrigerator thermometers,B089NLQ7SF,6.86,6.86,6.86,6.86,6.46,6.46,6.46,8.49,8.49,6.99,6.99,5.94,7.49,6.99,5.26,5.26,6.49,6.49,6.36,6.36,6.36,6.36,6.59,6.59,6.59,5.98,5.98,6.24,6.19,6.24,6.79,6.44,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.98,7.42,7.42,6.98
"Deiss PRO Lemon Zester & Heavy Duty Cheese Grater & Vegetable Grater — Parmesan Cheese Lemon, Garlic, Nutmeg, Chocolate, Fruits, Vegetables, Ginger Grater - Cheese Shredder & Stainless Steel Grater",zesters,B0738C7RXF,12.65,16.91,16.91,11.48,11.48,11.48,10.49,10.49,10.49,10.76,9.73,10.06,10.99,9.48,10.98,11.06,10.71,10.48,11.14,11.82,11.82,11.82,11.82,10.98,10.98,10.98,10.98,10.98,9.98,9.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98
"Katbite 200Pcs 9x13 inch Heavy Duty Unbleached Parchment Paper, Parchment Paper Sheets for Baking Cookies, Cooking, Frying, Air Fryer, Grilling Rack, Oven(9x13 Inch)",parchment,B08353YPCP,15.49,12.86,13.29,12.67,11.99,12.67,12.67,12.94,11.89,13.99,16.24,13.19,14.49,12.94,12.94,12.94,12.94,12.94,15.99,12.94,13.99,15.49,14.44,13.99,11.89,13.99,13.99,13.99,13.29,13.29,15.49,12.86,12.86,15.49,15.6,15.6,15.6,15.6,15.6,13.29,13.29,13.29,15.49,12.59,13.99,13.99,11.89,13.99
"Pyrex 3 Piece Measuring Cup Set, Includes 1, 2, and 4 Tempered Glass Liquid Measuring Cups, Dishwasher, Freezer, Microwave, and Oven Safe, Essential Kitchen Tools",cups,B00M2J7PCI,30.6,33.29,17.49,17.98,29.36,20.11,17.72,18.6,17.89,17.89,22.99,19.34,21.14,18.02,21.99,23.25,21.98,21.95,19.88,24.72,23.96,24.34,27.17,27.82,26.22,25.01,28.68,26.33,23.96,25.13,32.39,24.27,25.95,23.8,21.88,20.96,21.64,21.64,22.62,22.87,22.72,22.23,20.53,23.0,23.0,35.66,21.04,25.99
"Amazon Basics Foldable Portable Laundry Drying Rack for Air Drying Clothing, Indoor Outdoor Use - 14.5"" D x 29.5"" W x 41.8"" H, White",standing dry racks,B00H7P1GPO,29.99,31.98,32.53,30.99,30.99,30.99,30.06,30.99,30.99,33.67,30.57,30.57,35.31,36.23,33.62,36.41,36.41,36.89,35.34,34.31,28.0,23.66,27.27,36.02,36.02,29.39,35.67,40.27,38.78,33.99,35.47,35.79,34.55,28.29,32.93,32.93,27.38,27.06,26.95,27.99,26.66,26.66,24.3,24.3,24.3,29.42,29.94,27.99
"LOVIMAG 30 Pcs Refrigerator Magnets, Fridge Magnets, Strong Whiteboard Magnets, Magnetic Push Pins, Strong Metal Magnets for Fridge, Whiteboard, Office, Classroom, Map, Kitchen",refrigerator magnets,B086V4JT9T,14.99,14.99,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,14.99,14.99,14.99,14.99,13.86,14.8,14.8,14.8,13.73,13.49,13.86,13.86,14.99,14.99,14.99,13.49,13.49,14.43,14.43,14.43,13.86,13.86,13.86,13.86,13.86,13.86,14.62,13.79,13.39,14.58,15.36,14.19
"GermGuardian Filter B Pet Pure HEPA Genuine Replacement Filter, Removes 99.97% of Pollutants for AC4825, AC4820, AC4850, AC4870, CDAP4500, AC4900, AC4300, AP2200, 4- Pack, Black/Purple, FLT4850PT4PK",air purifier filters,B082XV1MFS,119.99,119.99,119.99,119.99,119.99,119.99,119.99,117.42,119.13,119.13,119.13,124.79,138.84,155.42,157.96,158.96,158.96,158.96,158.96,158.96,158.96,158.96,158.96,129.66,138.98,138.98,138.98,138.98,125.07,125.07,125.07,125.07,125.07,125.07,125.07,125.07,125.07,125.07,125.07,104.58,88.92,92.43,93.79,89.64,92.11,92.32,99.01,96.24
"Amazon Basics 15-inch Air Circulator Fan, Desk Fan for Bedroom, Home and Office, With 90-Degree Tilt Head, 3 Speed Settings, Lightweight (4 LBS), 70 Watts, Black, 7.6""D x 14.8""W x 14.1""H",table fans,B07BZQKC5M,25.99,26.34,26.34,26.02,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,29.24,29.99,29.99,29.68,30.74,30.74,28.68,33.69,29.99,33.56,30.98,37.84,32.82,32.82,32.82,35.52,31.02,29.99,30.48,28.32,31.4,35.99,30.04,28.31,24.38,24.23,33.29,29.15,22.05,23.99,30.98,21.99,22.96,19.99,19.99,22.99
