product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"OXO Tot Bottle & Cup Cleaning Set, Gray",bottle brushes,B07G7JW85X,26.12,26.12,26.12,26.12,29.96,29.97,30.49,30.32,30.48,30.98,30.95,30.99,27.5,28.87,29.39,36.47,47.02,46.28,46.28,33.34,29.49,31.62,29.55,34.55,35.08,36.39,33.74,32.47,32.63,32.82,34.14,35.22,25.18,33.29,33.29,31.75,33.14,32.01,34.15,33.93,36.1,34.17,35.48,35.9,36.98,36.7,31.99,36.77
"Amazon Basics Baby Oil, Lavender Scented, 14 Fl Oz (Pack of 4) (Previously Solimo)",oils,B07CJZPBRF,,13.3,13.3,13.3,13.58,13.29,13.57,13.28,13.28,13.28,13.28,13.28,12.96,12.99,12.99,13.29,14.02,14.22,15.67,14.87,13.88,13.91,13.91,12.77,12.27,11.96,11.78,16.09,23.75,12.99,12.99,12.99,12.99,12.99,12.99,7.43,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,8.25
Nuby No-Spill Sippy Cup with Flex Straw for Boys - (3-Pack) 10-Ounce Bottles - Training Sippy Cups for Toddlers 12+ Months,bottles,B00LX4CLKO,7.97,7.97,7.97,7.97,7.97,8.99,7.99,7.99,7.99,5.99,8.49,8.32,8.49,8.49,8.49,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,7.98,7.38,6.76,6.76,7.11,7.11,7.66,7.99,7.39,7.64,7.98,7.99,7.99,7.99
"Gerber Yogurt Melts Freeze-Dried Yogurt Snacks, Strawberry/Mixed Berries, 1 oz. Pouch (Pack of 8)",meals,B077XH9FQ7,18.5,18.5,18.24,18.24,17.13,20.13,19.62,20.38,20.47,31.65,47.14,31.46,38.11,25.18,25.43,26.93,26.92,27.02,27.73,28.26,30.27,28.17,27.62,27.44,42.72,55.95,55.3,52.56,42.73,42.73,22.98,24.98,24.7,23.67,24.79,24.75,23.96,24.87,24.88,24.34,25.04,25.04,25.04,25.04,25.04,22.58,25.14,25.14
"Dr. Brown’s Natural Flow Level T Narrow Baby Bottle Silicone Nipple, Slower Flow, 0m+, 100% Silicone Bottle Nipple, 6-Pack",nipples,B07YZZZF3J,11.26,11.81,13.74,11.77,11.92,11.49,11.49,11.49,11.46,11.56,11.49,11.56,11.49,11.98,11.98,11.49,12.32,12.99,11.99,11.28,10.55,12.84,12.99,13.1,13.99,12.49,12.49,12.49,13.42,13.42,12.49,12.49,12.81,13.02,13.02,13.02,13.02,13.02,13.99,13.99,13.99,13.99,13.99,24.11,21.28,21.28,21.28,21.28
"MAM Comfort Baby Pacifier, 100% Lightweight Silicone, Sterilizer Case, 0-3 Months (Pack of 2)",pacifiers,B087SN6TR2,5.48,6.78,6.78,6.78,6.78,6.78,6.78,6.99,6.99,6.99,6.99,6.98,6.99,6.99,6.99,6.99,6.99,6.99,7.99,7.99,7.99,7.97,7.97,5.48,7.99,7.98,7.98,7.98,7.98,7.0,7.67,7.67,8.38,8.38,8.38,8.38,8.38,9.49,9.49,9.32,9.32,7.99,7.99,7.97,7.86,7.98,7.79,7.79
"Little Remedies Gripe Water for Babies, Colic and Baby Gas Relief for Newborns, 4 Fl Oz, 3 Pack",colic & gas relief,B076HKQBNZ,23.56,25.12,25.12,28.82,27.07,25.95,28.66,28.52,29.74,28.57,26.18,28.49,29.22,28.66,22.22,25.02,19.99,24.13,23.59,23.76,24.73,26.57,23.4,23.4,30.0,41.38,34.65,29.41,37.05,35.02,35.14,33.12,30.19,23.39,23.41,29.86,24.85,23.84,23.31,22.45,17.97,12.85,13.93,13.93,19.71,25.37,29.45,27.56
"Dr. Brown's Soft Touch No Scratch Baby Bottle Cleaning Brush Nipple Cleaner with Stand and Storage Clip, BPA Free, Blue 1-Pack",bottle brushes,B01K7Z9SFA,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,6.99,6.22,4.99,4.99,4.99,5.66,5.66,5.66,5.66,5.89,5.39,6.83,5.99,5.99,5.99,5.99,5.94,5.94,5.94,5.94,5.94,5.93,5.03,5.03,5.39,8.49,8.49,8.49,8.49,8.49,5.59,5.99,5.99,4.78,3.8,5.99,5.99
NatureBond Baby Food Feeder/Fruit Feeder Pacifier Nibbler (2 Pack) - Infant Teething Toy Teether Weaning in Appetizing Colors | + Additional Silicone Sacs,teethers,B073VDSLRP,13.99,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,11.98,13.99,13.99,9.99,9.99,14.99,13.86,15.99,15.99,14.64,14.67,14.58,18.32,19.99,16.39,14.56,14.99,13.66,13.99,14.49,12.58,12.58,12.58,13.62,14.49,14.49,19.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,11.19,13.99
Medela Hydrogel Pads | Pain Relief for Sore or Cracked Nipples | Breastfeeding Essentials,nursing pads,B0011ECPA2,2.91,6.46,7.98,7.69,7.81,7.98,7.98,7.96,7.53,7.94,6.99,7.74,6.54,6.78,7.8,8.06,7.38,6.99,7.74,8.52,8.72,8.87,8.64,7.84,7.92,7.92,10.1,10.5,8.25,8.39,9.07,9.07,8.24,9.79,9.08,8.15,9.3,9.39,10.94,8.19,8.19,8.19,7.96,7.88,8.04,8.04,13.12,10.24
