,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
B0822JBM3J,,,,,73.86500000000001,73.86500000000001,74.04,74.04,79.1525,84.16136363636363,91.7286111111111,92.1575,93.691875,92.8764,93.73647058823528,93.17037037037036,91.3351851851852,93.015,93.23272727272727,92.57192307692308,91.56444444444443,87.5560606060606,78.54410256410256,84.87575757575758,84.8036,81.59095238095239,74.8208695652174,73.18777777777778,66.32,65.34925925925926,78.63600000000001,78.63600000000001,78.63600000000001,78.22,79.1195652173913,80.25888888888889,78.94666666666667,81.26428571428572,81.26428571428572,82.32199999999999,81.4496,83.230625,86.61793103448277,85.9324,83.2496153846154,82.94217391304348,81.25368421052632,80.92888888888889,80.73222222222222,82.42125,80.72333333333334,81.908,81.845,81.845,85.556,82.97999999999999,79.88,76.68941176470588,75.5725,69.83166666666666,81.14500000000001,73.49000000000001
B0828BJGD2,264.13061728395064,247.54823529411763,223.79,219.9811111111111,212.9136842105264,201.126875,193.61384615384617,195.97979591836736,181.42041666666668,181.3203333333333,199.5764285714285,181.70274193548383,174.39126315789477,173.71627906976744,181.0088888888889,162.75730158730158,170.7804411764706,181.08072727272727,168.63444444444443,166.50857142857143,169.042,165.62113636363637,178.21783582089552,168.68409090909088,158.73805555555555,152.2828125,152.2455172413793,151.64775,148.89542372881357,148.28303921568627,145.75466666666668,147.53019607843137,150.1034965034965,153.64068627450982,173.66494949494952,166.83888888888887,173.30825000000002,168.7715,152.33320512820512,138.2631129476584,145.1457597173145,135.48464968152865,139.4150331125828,139.41907692307691,137.10362903225806,134.89697916666668,161.38415094339624,151.69533333333334,146.36611111111108,143.3250666666667,143.74,138.23771929824562,134.23218543046357,134.39603448275864,125.25137931034484,129.82579710144927,126.0158823529412,118.24145454545454,119.90115646258504,117.30327272727271,112.41898550724638,109.33166666666666
B08295RZTM,,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,389.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,414.995,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99
B082CCQY41,14.99,12.99,17.99,13.99,12.99,10.99,10.99,9.99,12.99,12.99,10.656666666666666,10.656666666666666,12.99,12.99,10.99,11.49,13.006666666666666,13.006666666666666,10.99,10.99,12.99,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,11.235,11.235,11.235,11.235,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.3,10.3,10.3,11.323333333333332,11.323333333333332,11.323333333333332,11.323333333333332,11.323333333333332,11.323333333333332,10.3,10.3,10.3,10.305,12.06,11.49,11.49,11.49,11.49
B082DVCCDR,27.847142857142853,27.656666666666663,29.99,27.656666666666663,27.99,29.49,27.809999999999995,31.39,29.99,30.49,27.92333333333333,33.89,31.340000000000003,29.05857142857143,25.49,29.14,27.99,25.291666666666668,30.84,27.74,28.99,30.24,26.656666666666663,28.24,28.125714285714285,28.44,27.74,26.52333333333333,27.39,26.99,27.656666666666663,27.656666666666663,27.656666666666663,22.99,26.49,28.13285714285714,27.49,26.99,25.49,25.49,26.82333333333333,23.290000000000003,26.220769230769232,27.275714285714283,27.561428571428568,25.99,24.985,26.32,25.4875,24.985,24.985,24.985,24.985,24.32,21.49,21.99,22.74,24.49,25.99,24.485,24.485,24.485
B082FK87ZD,,,,,21.99,19.55,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,17.09,17.99,16.323333333333334,16.323333333333334,16.323333333333334,16.323333333333334,16.323333333333334,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,17.29,17.63,17.656666666666666,17.656666666666666,17.049999999999997,16.85,17.99,16.99,16.99,16.99,17.41857142857143,17.49,18.99,17.49,17.49,16.99,16.99,18.99,16.49,17.49,17.49,17.49,18.99,18.99,16.953333333333333,16.953333333333333,17.99,17.99
B082P8N4KJ,2099.0,2052.04,2139.984,2298.184117647059,2059.419230769231,1890.021875,1887.8835,1812.524615384616,1857.0593023255813,1910.4191836734688,2085.7459090909088,1861.7828,1817.7809523809524,1863.0503125,1883.8278260869563,1775.8866666666663,1757.2056666666665,1728.3706521739132,1621.14,1633.09,1755.444,1888.314375,1526.250689655173,1327.9776470588235,1323.6894594594596,1296.9267708333334,1311.2022448979592,1228.9856692913386,1254.147912087912,1113.3799324324325,1103.3790769230768,1017.4844578313254,977.5672,1022.0909395973154,1019.2456701030928,988.149024390244,1018.362957746479,1001.1514184397164,922.6016470588236,927.3478125,834.5170422535211,831.2902173913043,827.2085840707965,776.901625,703.1629591836735,684.9858115183247,653.5575862068966,660.8422222222222,688.433821656051,658.8847552447553,628.042013888889,622.800843373494,616.1534848484848,587.2336170212766,592.6425668449198,567.1686585365854,552.4128125,517.6091333333333,497.9577227722773,478.0705952380952,448.2026086956522,448.8733333333333
B082SSJY2C,,24.79,26.57,31.265,31.656666666666663,27.962222222222223,26.574210526315788,24.325714285714287,26.0925,26.863333333333333,29.30666666666667,30.320769230769223,27.39,28.41,29.54875,28.85,27.624,28.175,27.8125,27.19666666666667,28.6525,27.798,30.04,29.1525,28.065,31.74,28.723333333333333,28.095,28.82333333333333,31.246666666666663,27.35,24.99,24.99,28.99,28.99,26.89,27.256666666666664,26.99,26.49,26.49,26.99,29.754,26.99,27.99,26.24,26.51333333333333,26.04,26.04,26.04,24.99,23.99,23.99,23.99,26.933333333333334,26.933333333333334,26.933333333333334,21.99,33.07,20.99,20.99,20.99,20.99
B082X6TSZX,,12.856666666666667,12.856666666666667,14.99,13.19,13.39,13.79,13.415,13.87,13.89,13.89,14.29,14.99,14.99,14.99,14.99,14.99,15.447142857142856,15.447142857142856,15.447142857142856,15.447142857142856,14.315,14.99,14.99,14.59,14.49,14.49,14.49,12.556666666666668,13.330000000000002,14.656666666666666,13.99,14.89,13.89,14.79,14.79,14.79,14.29,14.29,14.89,14.29,14.24,14.24,14.45,14.69,14.323333333333332,14.323333333333332,14.323333333333332,15.95,15.97,15.97,15.99,14.927142857142856,15.04,15.04,15.04,15.04,16.99,15.99,15.99,15.99,15.99
B082Y4Y9Z3,,,249.99,259.99,265.99,265.99,265.99,265.99,265.99,265.99,277.99,275.99,275.99,275.99,285.99,295.99,300.99,300.99,290.99,290.99,295.99,299.99,299.99,299.99,306.99,306.99,309.99,315.99,315.99,310.99,310.99,285.49,285.49,307.99,314.69,349.99,326.6566666666667,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,289.99,286.6566666666667,299.99,284.99,284.99,284.99,284.99,284.99,279.99,279.99,279.99,299.99,279.99,279.99,279.99
