"Title","Categories: Sub","ASIN"
"Levi Strauss Signature Gold Men's Relaxed Fit Flex Jeans (Available in Big & Tall), Wind Up, 36W x 32L","Jeans, 121191995011, Mens Size Inclusive, Test Color, SGM Relaxed Fit Flex Jeans, Business Pricing & Quantity Discounts, Mens Plus Size Fashion, Internet Famous, Men's Denim in Every Wash, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B07LBNWH49"
"Amazon Essentials Women's Slim-Fit Tank, Pack of 2, Navy/Red, Large","Tanks & Camis, New arrivals from our brands, Deals from Amazon brands, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_9701, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Our Brands, Sustainable Fashion Picks, Back in Stock from Amazon Brands, SPB AE AA SJC, Test Color, Business Pricing & Quantity Discounts, Amazon Essentials, Top Gifts from Our Brands, Prime Day: Products on deal all 48 hours, Amazon Fashion: Clothing, test node women, Women's fashion, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B07757PX1P"
"CHARMKING Compression Socks for Women & Men Circulation (3 Pairs) 15-20 mmHg is Best Athletic for Running, Flight Travel, Support, Cycling, Pregnant - Boost Performance, Durability (L/XL,Multi 11)","Compression Knee-High Socks, Compression Knee-High Socks, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601","B07FY7KH3K"
"VSUDO Upgrade 45"" Double Layer Weave Flat Shoelaces, 5/16"" Wide Flat Shoe Laces for Adults & Kids Sneakers or Athletic Shoes [1Pair-Rose Red-114CM]","Shoelaces, Fashion-forward finds, Top Sellers Men's, Top Sellers Men's Test","B082Z6BQVD"
"Dr. Seuss Thing 1 Emblem T-Shirt","Women, Men, Boys, T-Shirts, T-Shirts, T-Shirts, T-Shirts, Dr. Seuss Graphic Tees, Dr. Seuss' Things 1-10, 2018 Best Sellers, Dr. Seuss, 4+ star tees, Last-Minute Halloween Costumes, Juniors' Clothing, Fashion: More Sustainable Products, Prime Day: Merch On Demand Most-Loved T-shirts, Back to School Fashion, Couples Costumes, Kid's Costumes, 2018 Costume Tees, 2019 Costume Tees, 2019 Kids HW, Characters, Popular, Thing 1 & Thing 2, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Dr. Seuss Store, Graphics Shop: 4+ Star Styles, 24018160011, 21412918011, Outfit Builder, Test Color, 21398031011, Amazon Merch on Demand: Trending Styles, Dr. Seuss Graphic Apparel, Best-Selling Graphic Apparel, Summer & Warm Weather Apparel, Virtual Try-on: T-shirts, Kids' Tees Under $25, Kids Graphic Tees, Hoodies & More, Trending Graphic Tops, Popular Graphic Apparel, Valentine's Day Graphics, Fashion Gift Guide: For the Master of Make-Believe, 24430884011, 4-Star Styles","B079PQPLT3"
"Wernies No Show Socks for Women - Low, Short, Non-Slip, Thin Liners for Flats, Size 5-8","No-Show Socks, Top sellers Women's Test, Top sellers Women's, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Women's GenZ Apparel Only, Most Wished For Styles, Most Gifted Styles","B07TW3BC5D"
"Hanes Mens Double Tough Socks, Crew Moisture-wicking With Odor Control, Multi-packs Casual, Black, 12-14 US","Crew Socks, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Business Pricing & Quantity Discounts, CML Devo, Everyday Apparel Essentials","B07VGT81TX"
"High Waisted Leggings for Women - No See Through Tummy Novelty Workout Yoga Pants with Pockets Reg & Plus","Compression Pants & Tights, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, 21078951011, 21492608011, Most Gifted Styles, Everyday Apparel Essentials, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B08BC55DGV"
"TCK Prosport Performance Tube Socks (Purple, Small)","Athletic Socks, Athletic Socks, Socks, Sport Specific Clothing, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, Athletic Socks, Test Color","B00GRANP6I"
"Fruit of the Loom Men's Coolzone Boxer Briefs, Moisture Wicking & Breathable, Assorted Color Multipacks, Short Leg-7 Pack-Black/Gray, X-Large","Boxer Briefs, Bulk Buying & Case Packs, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, FOTL Top 10 PASIN, Business Pricing & Quantity Discounts, Prime Day: Products on deal all 48 hours, Everyday Apparel Essentials","B08D11DTFK"
"Crep Protect Shoe Protector Spray - Rain & Stain Waterproof Nano Protection for Sneaker, Leather, Nubuck, Suede & Canvas","Water & Stain Treatments, Outfit Builder, Business Pricing & Quantity Discounts, Shop Shoes favorites","B013YRRFJ4"
"Under Armour Men's Tech Golf Polo, Washed Blue (420)/Pitch Gray, Medium","Polos, Sports and Apparel for Back to School | Amazon.com, Mens Tech Golf Polo, High priority-mens, sports-mens 2, 23679115011, 2023-UA Mens Apparel, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, June UA Apparel WTS, Prime Wardrobe: Under Armour, 2023-UA Mens Apparel, Spend $100+, get $25 off select fashion","B0872DGLWX"
"Thermajohn Long Johns Thermal Underwear for Men Fleece Lined Base Layer Set for Cold Weather (2X-Large, Hunter Green)","Bottoms, Test Color","B082PZXXHV"
"SHAPERMINT Shapewear for women - High-Waisted Shapewear Tummy Control Shorts, Faja body shaper, underwear for women","Control Panties, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Test Color, Business Pricing & Quantity Discounts, Most Wished For Styles, Most Gifted Styles","B07YNY2XGC"
