"Title","Categories: Sub","ASIN"
"MRS. MEYER'S CLEAN DAY Liquid Hand Soap, Cruelty Free & Biodegradable Hand Wash Made with Essential Oils, Apple Cider Scent, 12.5 Fl oz Bottle (Pack of 1)","Hand Wash, Bath & body, Amazon clearance goods, Hand soap & sanitizer, 25% off beauty & body care, Bath & body care, Hand soap, Hand Soap, Hand Soap and Sanitizers, Home fragrance, 25% off beauty & body care, 0803 OIH - BPC, Personal Care","B01IH2TX64"
"Lottabody Coconut Oil and Shea Wrap Me Foaming Curl Mousse , Creates Soft Wraps, Hair Mousse for Curly Hair, Defines Curls, Anti Frizz, 7 Fl Oz","Mousses, Fall Trends, 90's Grunge, Customers' Most-Loved: Beauty, Shop Hair Care, Customers' Most-Loved Beauty_Temp, Most-loved beauty deals, Customers' Most-Loved Beauty","B000TG63EW"
"e.l.f. Monochromatic Multi Stick, Luxuriously Creamy & Blendable Color, For Eyes, Lips & Cheeks, Bronzed Cherry, 0.17 Oz (5g)","Blush, e.l.f.","B088WGHQB7"
"Dove Men+Care Antiperspirant Deodorant 48-hour sweat and odor protection Clean Comfort Antiperspirant for men formulated with vitamin E and Triple Action Moisturizer 2.7 oz pack of 3","Antiperspirant Deodorant, Deodorants & Antiperspirants, New to SnS: Beauty, Groom with Dove Men + Care, Axe, & More","B00KARA3R8"
"CeraVe Daily Moisturizing Lotion for Dry Skin, Body Lotion & Face Moisturizer with Hyaluronic Acid and Ceramides, Daily Moisturizer, Fragrance Free, Oil-Free, 19 Ounce","Lotions, Shop Skin Care, Summer Beauty, Internet Famous, Mom's spa night, Climate Pledge Friendly | Beauty & Personal Care, moisturize","B07RK4HST7"
"La Roche-Posay Toleriane Purifying Foaming Facial Cleanser, Oil Free Face Wash for Oily Skin with Niacinamide, Pore Cleanser Won’t Dry Out Skin, Unscented","Washes, Face Care, La Roche-Posay, Shop Skin Care, Summer Beauty, Prime Day: 30% off Luxury Beauty, Spend $30, Get $5 off Luxury Beauty, Cleansers, Facial Skin Care Sample Credit, Beauty Best Sellers, Customers' Most-Loved: Beauty, Customers' Most-Loved Premium Beauty_Temp, Find Your Glow Summer Picks, Most-loved beauty deals, Shop Premium Beauty, Customers' Most-Loved Beauty, 15% off Luxury Beauty New Customers, Premium Beauty Best Sellers, Shower to style: start to finish hair care regimes, Prime Card Bonus - Eligible Luxury Beauty Products, Premium Beauty Best Sellers, Treat Yourself Luxury Beauty, Luxury & Professional Beauty, Shop Luxury Beauty Favorites, La Roche-Posay Sampling, Lux-Pro-Beauty, Luxury Beauty Prime Offer, cleanse, Amazon.com: 15% off Professional Skin Care","B01N34XW93"
"COSRX Snail Mucin 96% Power Repairing Essence 3.38 fl.oz 100ml, Hydrating Serum for Face with Snail Secretion Filtrate for Dull Skin & Fine Lines, Korean Skin Care","Serums, Customers' Most-Loved Beauty v2, Customers' Most-Loved Beauty_Temp","B00PBX3L7K"
"Dove Body Wash, Sensitive Skin Pump,34 Fl Oz (Pack of 2)","Body Washes, Mom's spa night","B0133V1N0S"
"CeraVe Foaming Facial Cleanser, Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide, Fragrance Free Paraben Free, 12 Fluid Ounce","Washes, Face Care, Everyday Essentials, Subscribe & Save Prime Promo, Customers' Most-Loved Beauty v2, Customers' Most-Loved Beauty_Temp, cleanse","B003YMJJSK"
"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen for Face with Zinc Oxide, Dermatologist Recommended Lotion,1.7 oz Pump","Facial Sunscreens, Travel Essentials, Fall Trends, Bare Faced, Shop Skin Care, Summer Beauty, 15% off luxury beauty, Deals on premium beauty, Premium Cyber Monday Beauty deals, Beauty Best Sellers, Customers' Most-Loved: Beauty, Premium Black Friday Beauty deals, Most-loved beauty deals, Beach Bum Summer Picks, Beauty Summer Sun Care, Shop Premium Beauty, Customers' Most-Loved Beauty, New Year Beauty, Premium Fall Finds, EltaMD, Premium Beauty Best Sellers, Minis and Travel Size, New Year Beauty, Premium Beauty, Prime Card Bonus - Eligible Luxury Beauty Products, Premium Beauty Best Sellers, Luxury Beauty for LIFE ITSELF, Treat Yourself Luxury Beauty, Prestige Skin Care, Luxury & Professional Beauty, Top Rated Luxury Beauty, Shop Luxury Beauty Favorites, Sun Protection, Lux-Pro-Beauty, Holiday Test, Luxury Beauty Prime Offer","B002MSN3QQ"
